DATE,TRFVOLUSM227NFWA
1/1/1970,80173
2/1/1970,77442
3/1/1970,90223
4/1/1970,89956
5/1/1970,97972
6/1/1970,100035
7/1/1970,106392
8/1/1970,106969
9/1/1970,95254
10/1/1970,96317
11/1/1970,89684
12/1/1970,89911
1/1/1971,85336
2/1/1971,80118
3/1/1971,92974
4/1/1971,98106
5/1/1971,103655
6/1/1971,105433
7/1/1971,112466
8/1/1971,112642
9/1/1971,101290
10/1/1971,102525
11/1/1971,95555
12/1/1971,95515
1/1/1972,92465
2/1/1972,88272
3/1/1972,102926
4/1/1972,103238
5/1/1972,110945
6/1/1972,113265
7/1/1972,118594
8/1/1972,119913
9/1/1972,108072
10/1/1972,108841
11/1/1972,100791
12/1/1972,101040
1/1/1973,96664
2/1/1973,92567
3/1/1973,107490
4/1/1973,108120
5/1/1973,114819
6/1/1973,115859
7/1/1973,121685
8/1/1973,124426
9/1/1973,110332
10/1/1973,113089
11/1/1973,104381
12/1/1973,98856
1/1/1974,95030
2/1/1974,86426
3/1/1974,100736
4/1/1974,104579
5/1/1974,112167
6/1/1974,113888
7/1/1974,120890
8/1/1974,124070
9/1/1974,109125
10/1/1974,112572
11/1/1974,105079
12/1/1974,105083
1/1/1975,98342
2/1/1975,91303
3/1/1975,106070
4/1/1975,107133
5/1/1975,116659
6/1/1975,118388
7/1/1975,124493
8/1/1975,126103
9/1/1975,111399
10/1/1975,115250
11/1/1975,106990
12/1/1975,107945
1/1/1976,102460
2/1/1976,98528
3/1/1976,114284
4/1/1976,117014
5/1/1976,123278
6/1/1976,124128
7/1/1976,130891
8/1/1976,131913
9/1/1976,119431
10/1/1976,121210
11/1/1976,112996
12/1/1976,113030
1/1/1977,102445
2/1/1977,102416
3/1/1977,119960
4/1/1977,121513
5/1/1977,128884
6/1/1977,129321
7/1/1977,136199
8/1/1977,136337
9/1/1977,124203
10/1/1977,127388
11/1/1977,118486
12/1/1977,116257
1/1/1978,109838
2/1/1978,107018
3/1/1978,125035
4/1/1978,122741
5/1/1978,134427
6/1/1978,138883
7/1/1978,148209
8/1/1978,149461
9/1/1978,131385
10/1/1978,132930
11/1/1978,123690
12/1/1978,124595
1/1/1979,114354
2/1/1979,109650
3/1/1979,131406
4/1/1979,129539
5/1/1979,132394
6/1/1979,131192
7/1/1979,134853
8/1/1979,139942
9/1/1979,127576
10/1/1979,131619
11/1/1979,123381
12/1/1979,123226
1/1/1980,116462
2/1/1980,107338
3/1/1980,125179
4/1/1980,125698
5/1/1980,131269
6/1/1980,131679
7/1/1980,136250
8/1/1980,138666
9/1/1980,127482
10/1/1980,132615
11/1/1980,123420
12/1/1980,124798
1/1/1981,116049
2/1/1981,109765
3/1/1981,127798
4/1/1981,128465
5/1/1981,134305
6/1/1981,135545
7/1/1981,141253
8/1/1981,143464
9/1/1981,131185
10/1/1981,133216
11/1/1981,124804
12/1/1981,124421
1/1/1982,109757
2/1/1982,107512
3/1/1982,128182
4/1/1982,129845
5/1/1982,140283
6/1/1982,142111
7/1/1982,152200
8/1/1982,153300
9/1/1982,136311
10/1/1982,138780
11/1/1982,127061
12/1/1982,127139
1/1/1983,119436
2/1/1983,111828
3/1/1983,132814
4/1/1983,132741
5/1/1983,143619
6/1/1983,146738
7/1/1983,156823
8/1/1983,157649
9/1/1983,139938
10/1/1983,144044
11/1/1983,133700
12/1/1983,129776
1/1/1984,122529
2/1/1984,117483
3/1/1984,137307
4/1/1984,141327
5/1/1984,151046
6/1/1984,153403
7/1/1984,161702
8/1/1984,164920
9/1/1984,146074
10/1/1984,147610
